01;CAI;BCN;308;265
02;CAI;BCN;320;265
03;CAI;BCN;317;265
04;CAI;BCN;372;260
05;CAI;BCN;316;260
01;CAI;BGY;177;250
02;CAI;BGY;168;250
03;CAI;BGY;152;230
04;CAI;BGY;162;230
08;CAI;BGY;292;230
01;CAI;DUS;318;290
02;CAI;DUS;315;290
03;CAI;DUS;440;290
01;CAI;MXP;174;240
02;CAI;MXP;169;240
03;CAI;MXP;162;240
04;CAI;MXP;131;240
05;CAI;MXP;211;235
08;CAI;MXP;262;240
01;CAI;OTP;374;170
02;CAI;OTP;192;170
01;CAI;GVA;356;260
08;CAI;GVA;297;260
01;CAI;CDG;217;290
02;CAI;CDG;194;295
03;CAI;CDG;194;290
07;CAI;CDG;193;290
08;CAI;CDG;193;290
01;CAI;ORY;151;275
02;CAI;ORY;155;275
03;CAI;ORY;133;275
07;CAI;BUD;238;200
09;CAI;BUD;238;200
01;CAI;IAD;461;735
02;CAI;IAD;430;735
01;CAI;JFK;441;720
02;CAI;JFK;428;720
08;CAI;JFK;491;700
10;CAI;JFK;441;700
05;CAI;YUL;370;660
06;CAI;YUL;370;660
07;CAI;YUL;440;660
08;CAI;YUL;650;660
01;CAI;YYZ;679;721
02;CAI;YYZ;566;721
01;DAR;CAI;672;410
02;DAR;CAI;264;410
03;DAR;CAI;265;410
01;DAR;NBO;114;170
02;DAR;NBO;106;170
05;DAR;NBO;113;75
07;DAR;NBO;111;170
05;DAR;ADD;254;185
01;DAR;BOM;358;360
02;DAR;BOM;477;360
01;DAR;MCT;395;415
02;DAR;MCT;395;415
03;DAR;MCT;397;425
01;DAR;DXB;268;325
02;DAR;DXB;236;325
03;DAR;DXB;260;435
03;DAR;DOH;776;335
01;DAR;AMS;726;556
02;DAR;AMS;440;556
01;DAR;IST;420;450
02;DAR;IST;436;445
03;DAR;IST;442;445
02;NBO;CPT;379;345
03;NBO;CPT;389;345
04;NBO;CPT;372;430
09;NBO;CPT;379;430
01;NBO;CAI;683;280
02;NBO;CAI;252;280
01;NBO;DAR;108;220
02;NBO;DAR;105;85
03;NBO;DAR;108;85
05;NBO;DAR;108;220
01;NBO;LOS;344;315
02;NBO;LOS;378;315
02;NBO;ADD;286;135
05;NBO;ADD;295;135
02;NBO;BOM;458;515
05;NBO;BOM;676;375
12;NBO;BOM;649;375
01;NBO;DEL;460;525
02;NBO;DEL;457;525
03;NBO;DEL;354;525
01;NBO;DXB;230;315
02;NBO;DXB;224;315
03;NBO;DXB;224;315
04;NBO;DXB;241;315
01;NBO;DOH;557;320
02;NBO;DOH;557;320
03;NBO;DOH;549;320
02;NBO;AMD;380;360
02;NBO;RUH;348;260
03;NBO;JED;251;210
02;NBO;AMS;395;506
03;NBO;AMS;422;506
01;NBO;IST;509;400
02;NBO;IST;424;400
02;NBO;LHR;452;535
03;NBO;LHR;398;535
02;NBO;FRA;446;510
01;NBO;CDG;600;515
02;NBO;CDG;920;520
01;NBO;JFK;714;900
02;NBO;JFK;547;900
09;NBO;JFK;530;900
02;ALG;CAI;234;230
03;ALG;CAI;137;215
04;ALG;CAI;131;215
01;ALG;TUN;167;70
02;ALG;TUN;128;80
03;ALG;TUN;131;80
05;ALG;TUN;166;70
10;ALG;CMN;191;115
02;ALG;DXB;678;475
03;ALG;DXB;227;390
01;ALG;DOH;517;345
02;ALG;DOH;332;345
04;ALG;JED;308;290
08;ALG;ALC;100;65
01;ALG;IST;290;195
02;ALG;IST;309;205
03;ALG;IST;306;205
04;ALG;IST;377;210
05;ALG;IST;288;215
08;ALG;IST;274;215
02;ALG;MAD;234;95
03;ALG;MAD;173;95
06;ALG;MAD;58;95
07;ALG;MAD;58;95
11;ALG;MAD;145;105
02;ALG;LHR;863;165
03;ALG;LHR;219;175
06;ALG;LHR;90;185
07;ALG;LHR;121;185
04;ALG;VLC;65;70
01;ALG;FRA;244;155
02;ALG;FRA;203;180
03;ALG;FRA;202;180
01;ALG;FCO;152;120
02;ALG;FCO;141;105
04;ALG;FCO;140;105
03;ALG;SVO;351;280
04;ALG;SVO;354;280
06;ALG;SVO;339;280
07;ALG;SVO;351;280
01;ALG;SVO;328;280
02;ALG;BCN;136;80
03;ALG;BCN;157;80
04;ALG;BCN;129;80
06;ALG;BCN;46;80
07;ALG;BCN;44;80
06;ALG;MXP;205;120
07;ALG;MXP;205;120
02;ALG;GVA;200;120
01;ALG;CDG;118;140
02;ALG;CDG;62;140
03;ALG;CDG;295;155
04;ALG;CDG;269;155
05;ALG;CDG;237;155
06;ALG;CDG;257;155
01;ALG;ORY;165;145
02;ALG;ORY;173;145
03;ALG;ORY;219;145
04;ALG;ORY;239;145
05;ALG;ORY;269;140
06;ALG;ORY;311;145
08;ALG;ORY;309;145
01;ALG;MRS;736;90
02;ALG;MRS;217;90
03;ALG;MRS;263;100
04;ALG;MRS;61;95
06;ALG;MRS;41;95
07;ALG;MRS;40;95
12;ALG;MRS;182;90
01;ALG;LYS;298;110
02;ALG;LYS;63;110
03;ALG;LYS;101;110
04;ALG;LYS;250;115
02;ALG;BOD;745;105
03;ALG;BOD;212;105
04;ALG;YUL;479;540
05;ALG;YUL;485;540
02;HBE;CAI;72;45
03;HBE;CAI;35;45
04;HBE;CAI;53;45
05;HBE;CAI;53;45
10;HBE;CAI;86;45
02;HBE;SSH;122;70
01;HBE;HRG;39;75
02;HBE;HRG;70;75
03;HBE;HRG;71;80
01;HBE;DXB;183;205
02;HBE;DXB;189;205
03;HBE;DXB;189;205
02;HBE;DOH;148;200
02;HBE;AUH;53;225
03;HBE;AUH;38;225
04;HBE;AUH;81;220
05;HBE;AUH;130;230
01;HBE;RUH;245;155
02;HBE;RUH;159;155
04;HBE;RUH;136;165
02;HBE;DMM;258;165
01;HBE;KWI;192;160
02;HBE;KWI;100;165
08;HBE;KWI;295;180
01;HBE;JED;172;130
02;HBE;JED;112;150
03;HBE;JED;133;150
01;HBE;IST;205;140
02;HBE;IST;186;140
